sim_num,likelihood
9,-1.0940587688926829e+199
8,-2.813966588270608e-17
10,-6.709271899416356e+199
6,-6.533310702233651e+199
7,-2.813966588270608e-17
5,-8.157319745682349e+198
4,0.0
1,-1.9325875188717042e+97
3,-7.535643815752331e+199
2,-3.940279020443766e+197
